date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:49	1380/1380	---M--	200	added ('OK')	font/woff	date:Wed,%2017%20Jul%202019%2013:44:46%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/fonts/slick.woff	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/fonts/slick.woff	(from https://demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/slick-theme.css)
09:58:49	1892/1892	---M--	200	added ('OK')	font/ttf	date:Wed,%2017%20Jul%202019%2013:44:46%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/fonts/slick.ttf	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/fonts/slick.ttf	(from https://demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/slick-theme.css)
09:58:50	2152/2152	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2017%20Jul%202019%2013:44:46%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/fonts/slick.svg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/fonts/slick.svg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/slick-theme.css)
09:58:51	135356/135356	---M--	200	added ('OK')	font/ttf	date:Wed,%2025%20Jun%202014%2010:35:12%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/fonts/Plateia_Bold.ttf	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/fonts/Plateia_Bold.ttf	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:52	280661/280661	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Nov%202019%2005:47:24%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/header1.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/header1.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:52	51450/51450	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Nov%202019%2007:48:32%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/header2.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/header2.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:53	42691/42691	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2003:18:10%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/steps-bg.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/steps-bg.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:53	382735/382735	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Nov%202019%2003:51:42%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/header3.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/header3.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:53	567711/567711	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Nov%202019%2003:53:14%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/header4.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/header4.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:54	1071/1071	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Nov%202019%2010:35:00%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/tick.png	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/tick.png	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:55	243644/243644	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Nov%202019%2002:56:02%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/gallery.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/gallery.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:56	193256/193256	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Nov%202019%2007:04:06%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/our-trainers.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/our-trainers.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:56	401471/401471	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Nov%202019%2008:17:04%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/contact-us-bg.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/contact-us-bg.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
09:58:56	344761/344761	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Nov%202019%2005:58:52%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/choose-us.jpg	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/choose-us.jpg	(from https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css)
